id,ts,actor,action,detail
54,2026-04-16T12:48:46,user,Allocazione,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W17-W18
53,2026-04-16T12:48:46,user,Allocazione,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W17-W18
52,2026-04-16T12:48:46,system,Allocazione creata,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W17-W18
51,2026-04-16T12:48:46,system,Allocazione creata,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W17-W18
50,2026-04-16T12:48:46,user,Allocazione,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W17-W18
49,2026-04-16T12:48:46,system,Allocazione creata,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W17-W18
48,2026-04-16T12:48:46,user,Allocazione,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W17-W18
47,2026-04-16T12:48:46,system,Allocazione creata,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W17-W18
46,2026-04-16T12:48:46,system,Svincolo per ambito,Commessa 2430 | GENERICO | W17-W18 | ext_only=1 | del 0 upd 0 ins 0
45,2026-04-16T12:40:26,system,Svincolo per ambito,Commessa 2430 | GENERICO | W16-W18 | ext_only=1 | del 5 upd 0 ins 0
44,2026-04-16T12:39:46,system,Allocazione creata,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W18
43,2026-04-16T12:39:46,system,Allocazione creata,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W18
42,2026-04-16T12:39:46,system,Allocazione creata,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W18
41,2026-04-16T12:39:46,system,Allocazione creata,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W16-W18
40,2026-04-16T12:39:46,system,Allocazione creata,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W18
39,2026-04-16T12:39:46,system,Svincolo per ambito,Commessa 2430 | GENERICO | W16-W18 | ext_only=1 | del 7 upd 6 ins 0
38,2026-04-16T12:39:44,system,Allocazione creata,GENERICO-EXT 6 -> 420-26 (SITE) | GENERICO | W16-W18
37,2026-04-16T12:39:44,system,Allocazione creata,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W18
36,2026-04-16T12:39:44,system,Allocazione creata,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W18
35,2026-04-16T12:39:44,system,Allocazione creata,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W18
34,2026-04-16T12:39:44,system,Allocazione creata,GENERICO-EXT 2 -> 420-26 (SITE) | GENERICO | W16-W18
33,2026-04-16T12:39:44,system,Allocazione creata,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W18
32,2026-04-16T12:31:18,system,Allocazione rimossa,GENERICO-EXT 4 -> 420-26 (SITE) | GENERICO | W16-W18
31,2026-04-16T12:31:05,system,Allocazione rimossa,GENERICO-EXT 5 -> 420-26 (SITE) | GENERICO | W16-W18
30,2026-04-16T12:30:51,system,Allocazione rimossa,GENERICO-EXT 3 -> 420-26 (SITE) | GENERICO | W16-W18
29,2026-04-16T12:30:47,system,Allocazione rimossa,GENERICO-EXT -> 420-26 (SITE) | GENERICO | W16-W18
